entity_norm,label,category,count
aaas american association advancement science,ORG,tech,1
aaas sheffield ballymena sprinter paul brizzel,ORG,sport,1
aadc,PERSON,entertainment,1
aamir khans,PERSON,entertainment,1
aara association represents bank,ORG,business,1
aaron,PERSON,sport,2
aaron persico,PERSON,sport,1
abba,PERSON,entertainment,1
abbas,PERSON,politics,4
abbasi croydon,ORG,politics,1
abbasi mubanga,ORG,politics,2
abbott described,ORG,politics,1
abbott voyce king,PERSON,sport,1
abc,ORG,entertainment,13
abc,ORG,sport,1
abc affiliates refusal air steven,ORG,entertainment,1
abc inc woman,ORG,entertainment,1
abc television,ORG,sport,2
abdellatif kechiche young,PERSON,entertainment,1
abdullah jordan,PERSON,politics,1
abdullatif,PERSON,business,1
abeyie woodford,PERSON,sport,1
abigail,PERSON,sport,1
abraham,ORG,sport,1
abraham yehoshua,PERSON,entertainment,1
absa,ORG,business,1
absa absa,PERSON,business,1
abu mazen,PERSON,politics,1
aburizal bakrie,PERSON,business,2
academia jollans,ORG,business,1
academy,ORG,entertainment,1
accountant donald nicolaisen,PERSON,business,1
accounts day,DATE,business,1
accused united states,GPE,sport,1
aceh,GPE,business,2
aceh,GPE,politics,2
aceh province,GPE,business,2
aceh province,GPE,politics,2
achilles tendon injury,ORG,sport,1
actress million dollar,MONEY,entertainment,1
actress sara forestier,ORG,entertainment,1
adair turner,PERSON,politics,1
adam curry,PERSON,entertainment,2
adam price,PERSON,business,1
adam smith,PERSON,business,2
adam thomas analyst,PERSON,entertainment,2
addon,GPE,tech,6
adera stuttgart,ORG,sport,1
adnan shihabeldin,PERSON,business,1
adrian hilton,PERSON,politics,1
adrian hughes,ORG,business,1
adrianos chelsea,PERSON,sport,1
aer lingus,ORG,business,9
aerosmith diana ross gloria,PERSON,sport,2
afghanistan,GPE,business,7
afghanistan,GPE,entertainment,1
afghanistan,GPE,politics,12
afp news agency,ORG,business,1
africa malaysia,ORG,business,1
african nations cup,ORG,sport,1
africas development,ORG,politics,1
afzal islam,PERSON,politics,1
agassi,GPE,sport,7
agassi australian,PERSON,sport,1
agassi briton,PERSON,sport,1
agassi david nalbandian,PERSON,sport,1
agassi struggles,GPE,sport,1
age eight,DATE,entertainment,1
age february,DATE,entertainment,2
age internet years,DATE,business,2
age never day,DATE,entertainment,1
age seven,DATE,politics,1
age seven,DATE,tech,3
age years,DATE,entertainment,1
age years,DATE,politics,1
agen bortolami narbonne,ORG,sport,1
agence france press exports,ORG,business,1
agence france presse,ORG,business,3
agence france presse afp,ORG,politics,1
agence france presse news agency,ORG,business,1
agence france presse qantas,ORG,business,1
ages kit next four years,DATE,sport,1
agnetha faltskog annifrid,PERSON,entertainment,1
agree,PERSON,politics,1
aguilera biarritz capacity,PERSON,sport,1
agustin,ORG,sport,1
agustin calleri,PERSON,sport,1
aidan ocarroll,PERSON,politics,2
air chinas flotation,ORG,business,1
air chinas primary,ORG,business,1
air jamaica back state,ORG,business,1
air travel,ORG,business,1
airasia,GPE,business,1
airbus,ORG,business,31
akon kaiser chiefs,ORG,entertainment,1
alabama,GPE,business,1
alan,GPE,sport,1
alan,PERSON,entertainment,2
alan,PERSON,politics,3
alan,PERSON,sport,2
alan alda,PERSON,entertainment,5
alan archibald,PERSON,sport,1
alan beith,PERSON,politics,3
alan bennett,PERSON,entertainment,4
alan bennetts,PERSON,entertainment,3
alan budd,PERSON,politics,4
alan budd blunkett,PERSON,politics,1
alan clark,PERSON,entertainment,1
alan clark,PERSON,politics,1
alan curbishley,PERSON,sport,1
alan duncan,PERSON,politics,1
alan greenspan,PERSON,business,5
alan hansen,PERSON,sport,2
alan hevesi,PERSON,business,1
alan hollinghurst,PERSON,entertainment,1
alan hollinghursts line,PERSON,entertainment,1
alan johnson,PERSON,business,1
alan johnson,PERSON,politics,4
alan jones,PERSON,business,1
alan lovell,PERSON,business,1
alan milburn,PERSON,business,3
alan milburn,PERSON,politics,24
alan milburn blair,PERSON,politics,2
alan pardew,PERSON,sport,1
alan parker,PERSON,entertainment,1
alan pascoe,PERSON,sport,1
alan quinlan,PERSON,sport,1
alan quinn jon harley,PERSON,sport,1
alan rickman,PERSON,entertainment,1
alan schwartz,PERSON,business,2
alan shearer,PERSON,sport,3
alan shearer andy cole keegan,PERSON,sport,1
alan smith,PERSON,politics,1
alan smith,PERSON,sport,2
alan thompson,PERSON,sport,1
alan titchmarsh,PERSON,entertainment,1
alan wass,PERSON,entertainment,1
alan white,PERSON,entertainment,1
alan whites,PERSON,sport,1
alan wiley,PERSON,sport,3
alarm clark,PERSON,entertainment,1
alastair brydon,PERSON,business,3
alastair campbell,PERSON,politics,6
alastair campbell,PERSON,sport,1
alastair sibbald,PERSON,tech,1
albania,GPE,business,1
albania macedonia,ORG,business,1
albeit,GPE,business,1
albert,PERSON,sport,2
albert costa,PERSON,sport,1
albert costa spaniard costa,PERSON,sport,1
albert cowritten,PERSON,entertainment,2
albert liveaction,PERSON,entertainment,1
albert van den,PERSON,sport,1
alcatel france,ORG,tech,3
aleksey miller,PERSON,business,1
alex,PERSON,sport,3
alex bannister,PERSON,business,1
alex bell,PERSON,business,1
alex bogdanovic andrew murray,PERSON,sport,1
alex bogdanovic andrew murray possible,PERSON,sport,1
alex ferguson,PERSON,entertainment,1
alex ferguson,PERSON,sport,21
alex fergusons,PERSON,sport,2
alex folkes,PERSON,politics,1
alex hilton,PERSON,business,1
alex jeannin,PERSON,sport,1
alex kapranos,PERSON,entertainment,3
alex mcleish,PERSON,sport,5
alex potter,PERSON,business,1
alex rae malcolm thompson,PERSON,sport,1
alex salmond,PERSON,business,1
alex salmond,PERSON,politics,2
alex talked,PERSON,entertainment,1
alex theater los angeles,PERSON,entertainment,1
alexander catwoman,PERSON,business,1
alexander graham bell,PERSON,business,1
alexander kosenkow,PERSON,sport,1
alexander payne,PERSON,entertainment,5
alexander shadrin,PERSON,business,1
alexandra tower,PERSON,business,1
alfa group,ORG,business,1
alfa romeos,PERSON,sport,1
alfonso cuaron,PERSON,entertainment,1
alfred kinsey,PERSON,entertainment,1
alfred kinsey meanwhile design,PERSON,entertainment,1
algeria,GPE,business,1
algeria,GPE,politics,3
algharafa qatar,PERSON,sport,2
ali babacan,PERSON,business,1
ali hogg,PERSON,sport,1
ali horrible,PERSON,entertainment,1
alice martin,PERSON,business,1
alicia keys,PERSON,entertainment,5
alistair darling,PERSON,politics,1
allan,PERSON,sport,2
allan scott,PERSON,sport,2
allard speech allard,PERSON,tech,2
allen wilson,PERSON,business,1
allocated department international development,ORG,politics,1
allow council housing association,ORG,politics,1
allparty committee lords reform loyal supporter government,ORG,politics,2
allstar,ORG,entertainment,2
allyn condon,PERSON,sport,1
almost cent half,MONEY,business,1
almost exactly year ago,DATE,politics,1
almost five years,DATE,sport,1
almost month,DATE,sport,1
almost nine years,DATE,tech,3
almost past five years,DATE,business,1
almost previous year,DATE,business,1
almost quarter,DATE,politics,1
almost quarter,DATE,sport,2
almost three months,DATE,business,2
almost three years,DATE,politics,2
almost three years ago,DATE,business,1
almost year,DATE,business,1
almost yearonyear,DATE,business,1
almost years,DATE,entertainment,3
almost years,DATE,tech,2
almost years four,DATE,entertainment,1
alonso kewell,PERSON,sport,1
alun michael,PERSON,politics,1
alun michael,PERSON,sport,1
alun pugh,PERSON,politics,1
alvarez,PERSON,politics,1
alvin harrison,PERSON,sport,2
alwi shihab,PERSON,business,1
alyn hockey,PERSON,tech,1
alyona,GPE,sport,1
amanda,ORG,entertainment,1
amanda harris played emilia,ORG,entertainment,1
amanda ross,PERSON,entertainment,1
amazoncom,ORG,business,6
america,GPE,business,9
america,GPE,entertainment,14
america,GPE,politics,4
america,GPE,sport,2
america,GPE,tech,3
american airlines,ORG,business,1
american bandstand,ORG,entertainment,1
american chances,ORG,sport,2
american court,ORG,sport,1
american express,ORG,business,1
american express years ago,ORG,business,1
american film institute afi,ORG,entertainment,1
american house,ORG,business,1
american idol,ORG,sport,1
american international,ORG,politics,1
american paris court,ORG,entertainment,1
american red cross,ORG,entertainment,1
american red cross,ORG,tech,1
american red cross commercialfree benefit,ORG,entertainment,1
american theatre dee american,ORG,entertainment,1
americas national football league nfl sega espn,ORG,sport,1
amex,ORG,business,1
amey jarvis,PERSON,business,1
amitai,ORG,politics,1
amma,PERSON,entertainment,1
amma asante film,PERSON,entertainment,1
amnesty,ORG,politics,1
amr,ORG,business,1
amr,PERSON,business,1
amsterdam,GPE,business,1
amsterdam brussels,ORG,business,1
amusategui angel corcostegui,ORG,business,1
anastasia,GPE,sport,2
anastasia myskina,PERSON,sport,2
anderson,PERSON,business,1
anderson,PERSON,sport,1
andi peters,PERSON,entertainment,2
andre agassi,PERSON,sport,6
andre big bois,PERSON,entertainment,1
andrea,PERSON,entertainment,1
andrea arnold,PERSON,entertainment,3
andrea arnold short film,PERSON,entertainment,1
andrea cicero,PERSON,sport,1
andrea levy,PERSON,entertainment,2
andrea masi,PERSON,sport,1
andrew,PERSON,sport,3
andrew beh,PERSON,business,1
andrew bennett,PERSON,politics,1
andrew bud executive,PERSON,business,3
andrew bud regulatory,PERSON,tech,2
andrew burke,PERSON,business,2
andrew burke,PERSON,entertainment,1
andrew burke,PERSON,sport,2
andrew burke people broadband,PERSON,entertainment,1
andrew burn,PERSON,entertainment,1
andrew collins,PERSON,entertainment,1
andrew derby,PERSON,politics,1
andrew fanara,PERSON,business,1
andrew former england,PERSON,sport,1
andrew fosters,PERSON,sport,1
andrew frampton striker deon burton,PERSON,sport,1
andrew gilligan,PERSON,politics,2
andrew green,PERSON,politics,2
andrew henderson glasgow,PERSON,sport,1
andrew hogg,PERSON,politics,1
andrew lloyd,PERSON,entertainment,2
andrew marr,PERSON,business,1
andrew marr,PERSON,politics,6
andrew marr blair,PERSON,politics,1
andrew marr brown,PERSON,politics,1
andrew mcfadyen,PERSON,politics,1
andrew mennear,PERSON,politics,1
andrew michelmore,PERSON,business,1
andrew murray,PERSON,sport,4
andrew murray david sherwood,PERSON,sport,1
andrew nachison,PERSON,entertainment,1
andrew obrien elliott bramble bernard bowyer,PERSON,sport,1
andrew packard,PERSON,entertainment,1
andrew pearson european,PERSON,tech,2
andrew ridgeley,PERSON,entertainment,2
andrew sheridan,PERSON,sport,1
andrew sheridan front,PERSON,sport,2
andrew stoddart,PERSON,tech,2
andrew taylor,PERSON,sport,1
andrew thompson,PERSON,sport,1
andrew tyrie,PERSON,politics,1
andrew wilson,PERSON,sport,1
andrey zvyagintsev,PERSON,entertainment,2
andriy,ORG,sport,1
andy,PERSON,sport,5
andy anson,PERSON,sport,1
andy beattie,PERSON,sport,1
andy campbell,PERSON,sport,1
andy craig,PERSON,sport,1
andy craigs,PERSON,sport,1
andy crawford registration,PERSON,sport,1
andy davis,PERSON,sport,1
andy farrell,PERSON,sport,3
andy farrells,PERSON,sport,1
andy garcia elliott,PERSON,entertainment,2
andy garcia lucy liu natalie,PERSON,entertainment,1
andy gilbert,PERSON,sport,1
andy gomarsall,PERSON,sport,2
andy goode,PERSON,sport,3
andy gray,PERSON,sport,1
andy haden,PERSON,sport,1
andy hazell,PERSON,sport,4
andy hertzfeld,PERSON,tech,2
andy johnson,PERSON,sport,2
andy pandy,PERSON,entertainment,1
andy parfitt,PERSON,entertainment,1
andy quested,PERSON,entertainment,1
andy ram jonathan erlich,PERSON,sport,1
andy richards,PERSON,politics,1
andy robinson,PERSON,sport,29
andy robinsons,PERSON,sport,1
andy roddick,PERSON,sport,16
andy roddick andre,PERSON,sport,1
