entity,label,category
october,DATE,sport
last season,DATE,sport
fifa,ORG,sport
michelle verroken verroken,PERSON,sport
october,DATE,sport
centimetre time athletics,ORG,sport
samaria,GPE,sport
jason gardener,PERSON,sport
madrid,GPE,sport
mark lewisfrancis,PERSON,sport
unsettle,ORG,sport
mark jason,PERSON,sport
ronald pognon,PERSON,sport
sarah,PERSON,sport
melanie purkiss,PERSON,sport
kim wall,PERSON,sport
lee mcconnell,PERSON,sport
meseret,PERSON,sport
last years,DATE,sport
kenenisa bekele,PERSON,sport
markos,PERSON,sport
manchester,ORG,sport
alex ferguson,PERSON,sport
brazil,GPE,sport
reyes,ORG,sport
kicked park beating boy,PERSON,sport
neville,PERSON,sport
van nistelrooy,PERSON,sport
ireland,GPE,sport
ireland,GPE,sport
bbc,ORG,sport
brian odriscoll,PERSON,sport
ball days,DATE,sport
eddie osullivan,PERSON,sport
england,GPE,sport
andy robinson,PERSON,sport
andy,PERSON,sport
andy,PERSON,sport
today,DATE,sport
week,DATE,sport
liverpool,GPE,sport
milan,GPE,sport
season,DATE,sport
benitez,PERSON,sport
daily,DATE,sport
sunday,DATE,sport
millennium,DATE,sport
saturday,DATE,sport
portugal star,ORG,sport
august,DATE,sport
united board,ORG,sport
tomorrow,DATE,sport
dawson,PERSON,sport
england,GPE,sport
matt dawson,PERSON,sport
andy robinson,PERSON,sport
mathew tait,PERSON,sport
train england,PERSON,sport
newport,ORG,sport
threeday,DATE,sport
next week,DATE,sport
mike tindall,PERSON,sport
stuart abbott jamie noon,PERSON,sport
ollie smith,PERSON,sport
barkley henry paul retains,PERSON,sport
australia,GPE,sport
ben cohen,PERSON,sport
phil vickery,PERSON,sport
tom voyce,PERSON,sport
andy beattie,PERSON,sport
george chuter,PERSON,sport
two seasons,DATE,sport
jonny wilkinson,PERSON,sport
france,GPE,sport
phil greening,PERSON,sport
mark regan,PERSON,sport
november,DATE,sport
harry ellis,PERSON,sport
national academy,ORG,sport
andy gomarsall,PERSON,sport
days,DATE,sport
weeks years,DATE,sport
lewsey robinson simpsondaniel voyce abbott,ORG,sport
paul smith tait,PERSON,sport
barkley,PERSON,sport
wilkinson dawson,PERSON,sport
kay shaw,PERSON,sport
hazell,ORG,sport
worsley abbott,PERSON,sport
borthwick brown chuter,PERSON,sport
corry cueto,PERSON,sport
dawson ellis flatman,ORG,sport
hazell hill,ORG,sport
kay king,PERSON,sport
lewsey moody,PERSON,sport
paul robinson,PERSON,sport
simpsondaniel thompson,PERSON,sport
wilkinson worsley worsley barkley,PERSON,sport
smith stevens tait voyce dowson haughton,ORG,sport
manchester united avoided cup,PERSON,sport
ball paul jones,PERSON,sport
andrew taylor,PERSON,sport
tim howard,PERSON,sport
alex ferguson,PERSON,sport
paul scholes,PERSON,sport
devine steve,PERSON,sport
united long,ORG,sport
alex jeannin,PERSON,sport
swung cross,ORG,sport
james park mud jones,PERSON,sport
freekick yards,PERSON,sport
taylor,PERSON,sport
taylor martin ampadu,PERSON,sport
howard phil neville,PERSON,sport
rooney subs,PERSON,sport
barkley,PERSON,sport
match ireland,GPE,sport
england,GPE,sport
barkley,PERSON,sport
lansdowne road barkley,ORG,sport
fridays,DATE,sport
henry paul,PERSON,sport
andy robinson,PERSON,sport
wednesday,DATE,sport
duncan bell,PERSON,sport
phil vickerys,PERSON,sport
six weeks,DATE,sport
white neck injury bell,ORG,sport
bell,PERSON,sport
last december,DATE,sport
france days ago,DATE,sport
england,GPE,sport
andy robinson,PERSON,sport
andrew sheridan front,PERSON,sport
france,GPE,sport
nine days ago,DATE,sport
bristol city,ORG,sport
milton,PERSON,sport
season,DATE,sport
striker,ORG,sport
scott murray,PERSON,sport
richard johnson,PERSON,sport
steve,PERSON,sport
lita cotterill gillespie,PERSON,sport
orr brown hill,ORG,sport
lita bevan,PERSON,sport
kamara makofo,PERSON,sport
chorley herve,PERSON,sport
johnson mackie,PERSON,sport
martin palmer pacquette chorley johnson,ORG,sport
prutton,PERSON,sport
david prutton,PERSON,sport
football association yearold,ORG,sport
alan wiley,PERSON,sport
paul norman,PERSON,sport
wednesday,DATE,sport
prutton,GPE,sport
physio jim joyce,PERSON,sport
denis rofe,PERSON,sport
norman david,PERSON,sport
lad prutton,PERSON,sport
robert pires injured,PERSON,sport
ref,ORG,sport
curbishley delight johansson,PERSON,sport
alan curbishley,PERSON,sport
jonatan johansson,PERSON,sport
norwich curbishley,ORG,sport
summer,DATE,sport
barcelona,GPE,sport
wednesday,DATE,sport
bbc,ORG,sport
five years ago,DATE,sport
patrick kluivert,PERSON,sport
algharafa qatar,PERSON,sport
milan,GPE,sport
vialli claudio ranieri,PERSON,sport
last season,DATE,sport
france champions league marseilles,ORG,sport
qatar,GPE,sport
frank lebeouf,PERSON,sport
titi camara,PERSON,sport
great milan,ORG,sport
manchester united,ORG,sport
wednesday,DATE,sport
hearts livingston hearts,PERSON,sport
lee miller,PERSON,sport
colin meldrum,ORG,sport
jamie mcallister,PERSON,sport
free kick mcallister,PERSON,sport
saul mikoliunas,PERSON,sport
craig easton,PERSON,sport
miller,ORG,sport
miller,ORG,sport
miller,PERSON,sport
stephen simmons,PERSON,sport
richard gough,PERSON,sport
defender goran stanic midfielder,ORG,sport
gabor vincze,PERSON,sport
derek lilley mark wilson,PERSON,sport
eric deloumeaux,PERSON,sport
alan,PERSON,sport
burton obrien,PERSON,sport
gordon webster miller,PERSON,sport
hartley neilson mcallister,PERSON,sport
macfarlane berra,PERSON,sport
mikoliunas,ORG,sport
wallace moilanen kizys,PERSON,sport
webster miller mcallister meldrum mcnamee bahoken stanic,PERSON,sport
wilson vincze lilley,PERSON,sport
mcpake mckenzie,PERSON,sport
vincze horvath easton,ORG,sport
taylor,PERSON,sport
juan ignacio chela,PERSON,sport
swede joachim johansson,ORG,sport
sunday,DATE,sport
johansson,PERSON,sport
lleyton hewitts sister,PERSON,sport
jaslyn,PERSON,sport
saturday,DATE,sport
johansson,PERSON,sport
roddick san jose,PERSON,sport
andy roddick,PERSON,sport
san jose,GPE,sport
sunday,DATE,sport
tommy haas,PERSON,sport
melzer frenchman,ORG,sport
roddick,PERSON,sport
ireland munster,PERSON,sport
paul,PERSON,sport
new zealand,GPE,sport
summer,DATE,sport
england,GPE,sport
bbc,ORG,sport
two years ago,DATE,sport
shop window,ORG,sport
summer,DATE,sport
lewsey jason robinson,ORG,sport
charlie hodgson,PERSON,sport
two years ago,DATE,sport
slovakia,ORG,sport
hopman cup,PERSON,sport
slovakia,ORG,sport
hopman cup,PERSON,sport
argentina,GPE,sport
daniela hantuchova,PERSON,sport
dulko dominik hrbaty,ORG,sport
coria,ORG,sport
last years,DATE,sport
daniela hrbaty,PERSON,sport
today,DATE,sport
next two,DATE,sport
well week,DATE,sport
karina habsudova,PERSON,sport
france,GPE,sport
february,DATE,sport
kim,PERSON,sport
february,DATE,sport
kim,PERSON,sport
paris,GPE,sport
february,DATE,sport
kim,PERSON,sport
february yearold,DATE,sport
last october,DATE,sport
earlier season,DATE,sport
february,DATE,sport
october,DATE,sport
gordon strachan,PERSON,sport
milan,PERSON,sport
harry redknapp,PERSON,sport
earlier december,DATE,sport
bbc club,ORG,sport
terry brady,PERSON,sport
saturday,DATE,sport
scotland international,ORG,sport
velimir zajec,PERSON,sport
joe jordan,PERSON,sport
february earlier,DATE,sport
five years,DATE,sport
tim henman,PERSON,sport
monday,DATE,sport
andrew murray,PERSON,sport
italy,GPE,sport
peter norfolk,PERSON,sport
year,DATE,sport
august,DATE,sport
kooyong,PERSON,sport
january,DATE,sport
roger federer andy roddick andre,PERSON,sport
agassi briton,PERSON,sport
next year,DATE,sport
kooyong,PERSON,sport
moya,ORG,sport
davis cup,PERSON,sport
carlos moya,PERSON,sport
davis cup,PERSON,sport
andy roddick,PERSON,sport
usas challenge seville moya,ORG,sport
today,DATE,sport
today,DATE,sport
davis cup,PERSON,sport
two years ago,DATE,sport
australia,GPE,sport
moya,ORG,sport
jordi arrese,PERSON,sport
years,DATE,sport
years days,DATE,sport
davis cup great,PERSON,sport
finish year,DATE,sport
patrick mcenroe,PERSON,sport
american chances,ORG,sport
years year,DATE,sport
year,DATE,sport
less week,DATE,sport
april,DATE,sport
jamie costin,PERSON,sport
couple days,DATE,sport
meseret defar,PERSON,sport
couple weeks later,DATE,sport
london,GPE,sport
northern ireland,GPE,sport
august,DATE,sport
paul brizzel lone standard bearer province,PERSON,sport
james mcilroy,PERSON,sport
brown paul mckee,PERSON,sport
summer fourth,DATE,sport
several months,DATE,sport
summer,DATE,sport
years,DATE,sport
andy campbell,PERSON,sport
december,DATE,sport
west belfast,GPE,sport
campbell,ORG,sport
years,DATE,sport
thursday,DATE,sport
italy,GPE,sport
england,GPE,sport
france,GPE,sport
robert jones rob howley jon humphreys darren morris,PERSON,sport
martyn williams ceri,PERSON,sport
champions league yearold,ORG,sport
last month,DATE,sport
barcelona,GPE,sport
march,DATE,sport
daily,DATE,sport
last summer,DATE,sport
weeks ago,DATE,sport
ledley king,PERSON,sport
holland,GPE,sport
john terry wayne bridge,PERSON,sport
svengoran eriksson,PERSON,sport
villa park injured rio,ORG,sport
campbell,ORG,sport
matthew upson,PERSON,sport
campbell,ORG,sport
australia,GPE,sport
february yearold,DATE,sport
sunday,DATE,sport
england king,PERSON,sport
phil neville bridge,PERSON,sport
week,DATE,sport
brazil,GPE,sport
right week,DATE,sport
walter smith,PERSON,sport
scotland,GPE,sport
first international week,DATE,sport
walter canny,ORG,sport
wednesday,DATE,sport
john toshack,PERSON,sport
hungary,GPE,sport
holland,GPE,sport
andy johnson,PERSON,sport
svengoran,PERSON,sport
spain,GPE,sport
eddie osullivan,PERSON,sport
period year,DATE,sport
last summer week period start season,DATE,sport
mike,PERSON,sport
sunday,DATE,sport
keith gleeson,PERSON,sport
france,GPE,sport
karl mullens,PERSON,sport
england,GPE,sport
france,GPE,sport
lansdowne road,ORG,sport
days,DATE,sport
south africa,GPE,sport
next month,DATE,sport
last year,DATE,sport
days,DATE,sport
south africa,GPE,sport
february,DATE,sport
next day,DATE,sport
namibia,GPE,sport
april,DATE,sport
zimbabwe botswana mozambique,PERSON,sport
june,DATE,sport
zambia,GPE,sport
lesotho malawi,PERSON,sport
august,DATE,sport
south africa,GPE,sport
namibia botswana,ORG,sport
lesotho malawi,PERSON,sport
zambia,GPE,sport
newcastle,GPE,sport
bolton kieron dyer,PERSON,sport
lee bowyer,PERSON,sport
newcastle,GPE,sport
fed,ORG,sport
stephen carr,PERSON,sport
giannakopoulos,PERSON,sport
ball alan,PERSON,sport
jussi jaaskelainen,PERSON,sport
carr,PERSON,sport
veteran defender,PERSON,sport
robert curled ball,PERSON,sport
alan,PERSON,sport
bolton boss sam,PERSON,sport
newcastle,GPE,sport
newcastle,GPE,sport
carr,PERSON,sport
robert jenas ameobi,PERSON,sport
bolton jaaskelainen,PERSON,sport
hunt fadiga,PERSON,sport
ben haim,PERSON,sport
candela,GPE,sport
ben haim,PERSON,sport
liverpool,GPE,sport
liverpool,GPE,sport
october,DATE,sport
liverpool,GPE,sport
april,DATE,sport
cctv,ORG,sport
liverpool,GPE,sport
liverpool,GPE,sport
december,DATE,sport
dubai,GPE,sport
dubai,GPE,sport
tim henman,PERSON,sport
last eight,DATE,sport
last weeks,DATE,sport
roger relax,PERSON,sport
two weeks,DATE,sport
roger win,PERSON,sport
tim henman,PERSON,sport
david nalbandian kooyong,PERSON,sport
wednesday,DATE,sport
roger federer,PERSON,sport
warmup,ORG,sport
friday,DATE,sport
massu andy roddick,PERSON,sport
years,DATE,sport
david,PERSON,sport
beginning year,DATE,sport
end year,DATE,sport
couple weeks,DATE,sport
two weeks,DATE,sport
two months,DATE,sport
tim henman,PERSON,sport
three days,DATE,sport
annual,DATE,sport
winter,DATE,sport
earlier week,DATE,sport
britain,GPE,sport
john crowther,PERSON,sport
weeks year,DATE,sport
parmar anne keothavong,PERSON,sport
london,GPE,sport
david felgate,PERSON,sport
bbc,ORG,sport
bbc,ORG,sport
next years,DATE,sport
wimbledon championships,PERSON,sport
second week,DATE,sport
robertson retain,ORG,sport
john robertson,PERSON,sport
uefa cup,PERSON,sport
three four years,DATE,sport
murrayfield,ORG,sport
republic ireland,GPE,sport
brian kerr,PERSON,sport
switzerland,GPE,sport
dublin,GPE,sport
october,DATE,sport
portugal,GPE,sport
tuesday,DATE,sport
september,DATE,sport
october,DATE,sport
switzerland,GPE,sport
brian kerr,PERSON,sport
switzerland,GPE,sport
france,GPE,sport
israel,GPE,sport
faroe islands,ORG,sport
france,GPE,sport
september,DATE,sport
france,GPE,sport
israel,GPE,sport
switzerland,GPE,sport
faroe,GPE,sport
switzerland,GPE,sport
republic ireland,GPE,sport
israel,GPE,sport
faroe,GPE,sport
france,GPE,sport
france,GPE,sport
republic ireland,GPE,sport
israel,GPE,sport
switzerland,GPE,sport
faroe islands,GPE,sport
republic ireland,GPE,sport
faroe islands,ORG,sport
france,GPE,sport
israel,GPE,sport
france,GPE,sport
switzerland,GPE,sport
israel,GPE,sport
republic ireland,GPE,sport
switzerland,GPE,sport
israel,GPE,sport
france,GPE,sport
republic ireland,GPE,sport
israel,GPE,sport
faroe,GPE,sport
switzerland,GPE,sport
faroe,GPE,sport
republic ireland,GPE,sport
august,DATE,sport
france,GPE,sport
switzerland,GPE,sport
israel,GPE,sport
republic ireland,GPE,sport
france,GPE,sport
switzerland,GPE,sport
faroe,GPE,sport
israel,GPE,sport
switzerland,GPE,sport
france,GPE,sport
israel,GPE,sport
faroe islands,ORG,sport
republic ireland,GPE,sport
france,GPE,sport
republic ireland,GPE,sport
switzerland,GPE,sport
england,GPE,sport
andy robinson,PERSON,sport
france twickenham,PERSON,sport
martin corry,PERSON,sport
mathew tait,PERSON,sport
jamie noon,PERSON,sport
england,GPE,sport
bath flyhalfcumcentre,PERSON,sport
france,GPE,sport
hard week,DATE,sport
next week,DATE,sport
france,GPE,sport
newcastle,GPE,sport
michael owen buildup,PERSON,sport
first quarter,DATE,sport
england,GPE,sport
chris jones,PERSON,sport
andy hazell,PERSON,sport
ben kay,PERSON,sport
england,GPE,sport
lewsey,ORG,sport
josh lewsey,PERSON,sport
referee jonathan kaplan,PERSON,sport
lewsey,ORG,sport
bbc sport,ORG,sport
today,DATE,sport
kenteris katerina,PERSON,sport
greek athletics federation,ORG,sport
kenteris,PERSON,sport
tuesday,DATE,sport
kenteris,PERSON,sport
benitez joy reds,PERSON,sport
bayer leverkusen,ORG,sport
germany,GPE,sport
leg jerzy dudeks fault,ORG,sport
germany,GPE,sport
steven gerrard,PERSON,sport
germany,GPE,sport
steven gerrard,PERSON,sport
odriscoll scotland,ORG,sport
ireland,GPE,sport
brian odriscoll,PERSON,sport
saturdays,DATE,sport
italy,GPE,sport
friday,DATE,sport
friday,DATE,sport
kevin maggs,PERSON,sport
tommy bowe,PERSON,sport
johnny oconnor,PERSON,sport
south africa,GPE,sport
last november,DATE,sport
oconnor foley,PERSON,sport
miller,ORG,sport
humphreys dempsey,PERSON,sport
newcastle,GPE,sport
newcastle,GPE,sport
season,DATE,sport
last couple months,DATE,sport
coming weeks,DATE,sport
april,DATE,sport
fourth last years event year earlier,DATE,sport
australia,GPE,sport
matthew turnbull mark carroll,PERSON,sport
recent weeks,DATE,sport
alan,GPE,sport
boston,GPE,sport
craig mottram,PERSON,sport
dublin,GPE,sport
